"","H4R17A","H4R17A.1","H4R17A.2","H4R17A.3","H4S64A","H4S64A.1","H4S64A.2","H4S64A.3","H3R63A","H3R63A.1","H3R63A.2","H3R63A.3","H3P16A","H3P16A.1","H3P16A.2","H3P16A.3","H3K42A","H3K42A.1","H3K42A.2","H3K42A.3","H3S87A","H3S87A.1","H3S87A.2","H3S87A.3","H4R78K","H4R78K.1","H4R78K.2","H4R78K.3","H4K44R","H4K44R.1","H4K44R.2","H4K44R.3","H3E94A","H3E94A.1","H3E94A.2","H3E94A.3","H3R69A","H3R69A.1","H3R69A.2","H3R69A.3","WT","WT.1","WT.2","WT.3","H3T32D","H3T32D.1","H3T32D.2","H3T32D.3","H3K27R","H3K27R.1","H3K27R.2","H3K27R.3","X2000","X2000.1","X2000.2","X2000.3","X200","X200.1","X200.2","X200.3","X1000","X1000.1","X1000.2","X1000.3","H3R40A","H3R40A.1","H3R40A.2","H3R40A.3","H3K79A","H3K79A.1","H3K79A.2","H3K79A.3","H3K4A","H3K4A.1","H3K4A.2","H3K36A","H3K36A.1","H3K36A.2","H4R17A.4","H4R17A.5","H4R17A.6","H4R17A.7","H4S64A.4","H4S64A.5","H4S64A.6","H4S64A.7","H3R63A.4","H3R63A.5","H3R63A.6","H3R63A.7","H3P16A.4","H3P16A.5","H3P16A.6","H3P16A.7","H3K42A.4","H3K42A.5","H3K42A.6","H3K42A.7","H3S87A.4","H3S87A.5","H3S87A.6","H3S87A.7","H4R78K.4","H4R78K.5","H4R78K.6","H4R78K.7","H4K44R.4","H4K44R.5","H4K44R.6","H4K44R.7","H3E94A.4","H3E94A.5","H3E94A.6","H3E94A.7","H3R69A.4","H3R69A.5","H3R69A.6","H3R69A.7","WT.4","WT.5","WT.6","WT.7","H3T32D.4","H3T32D.5","H3T32D.6","H3T32D.7","H3K27R.4","H3K27R.5","H3K27R.6","H3K27R.7","X2000.4","X2000.5","X2000.6","X2000.7","X200.4","X200.5","X200.6","X200.7","X1000.4","X1000.5","X1000.6","X1000.7","H3R40A.4","H3R40A.5","H3R40A.6","H3R40A.7","H3K79A.4","H3K79A.5","H3K79A.6","H3K79A.7","H3K4A.3","H3K4A.4","H3K4A.5","H3K36A.3","H3K36A.4","H3K36A.5"
"Doubling Times",307.400102224384,329.035989068499,230.546963886534,364.023231256673,404.606990088375,385.026446714135,349.556893912947,411.365392408144,452.437497779944,392.497176949683,442.813844357011,329.946068237536,354.083172460627,357.872096209044,398.798429174964,385.546921100734,"468.165879932632",281.504308345343,419.896734986619,272.253070230033,494.34946201171,454.556405518315,464.851179481938,459.03908465955,472.165937577308,295.142326712302,496.763021856662,490.380813097625,354.945071060471,408.442351119893,356.05534977435,434.813772233932,398.542070234667,408.025441633767,415.166180358194,491.240826057223,364.411517525345,502.229406034298,466.108151885346,530.906149680731,476.472995848826,442.30541451922,414.491237767757,476.053260087006,483.904330364475,448.020040730295,476.194632063662,486.41059615245,359.902717702016,"-11173.3574916562",445.508389642381,478.42179351647,446.468466848799,441.263324698808,452.155196555543,428.113053986809,600.644493351185,596.049254728769,518.55874227317,540.978398255687,574.017449338545,531.208889306255,552.37181987631,493.816073757422,404.957055670238,471.069669143384,448.119695158043,409.027804375991,535.752724233324,523.749202467073,410.707904789842,390.239696953026,488.612333965952,523.756774156896,506.321048455626,445.266570219153,453.240749123958,444.506589348234,363.762700381657,357.117701321385,266.731270829957,397.13599510021,420.061514856642,423.483873187041,369.396967868499,454.855149358013,503.323667464819,445.021747980353,438.81583232844,329.624991398333,342.811401393728,386.240001852906,403.316171202554,431.268685428875,"5346.78902309776",398.132115642477,452.373125798277,577.205390893485,411.178983166158,424.798738790299,411.529504634813,424.12958314842,385.710680966133,418.585405155822,460.462676406788,440.018290438588,336.696235404969,363.872099098966,369.891851467949,458.594834460204,404.329556641386,427.409643612039,392.834384692778,455.95224919546,324.504564238376,495.588704049974,498.54058046461,537.403689560429,489.687305967935,445.393442037111,375.007906431896,451.704866650103,462.145460203346,403.983074242738,460.262807188893,475.436757994573,333.083799450414,510.625949539306,492.634423159327,521.454700781675,482.763467045651,486.30743683872,482.742758595455,472.58711550279,671.938000320677,599.641131398936,551.274876918431,530.321093114437,427.848913886943,485.364162054155,471.343072016017,473.567168731457,338.830433265211,388.81508538721,375.479481024852,333.945902268294,439.559807694252,437.643169313927,336.871247356311,334.648917383135,435.587501784183,419.151173219152,421.847273496986,360.522786875053,351.427629313894,338.788775920071
"Rsquared Value",0.99705565324317,0.996431138150197,0.999374491452652,0.990093687023395,0.988947722818634,0.990805650266838,0.991089913543277,0.98889810116507,0.995346275990014,0.993056280390038,0.995620317137907,0.996652040099579,0.99055380519643,0.994812615999494,0.98852446389841,0.990172792304773,"0.993346444987208",0.997511060710064,0.998977795890332,0.965663910367145,0.988509755029925,0.990908847779247,0.988968901850228,0.9845342764886,0.9980046606775,0.972246194657856,0.997511682408642,0.998325334024442,0.97667126459355,0.948470564480095,0.993968369799648,0.987061581440103,0.996785215543795,0.99492871857916,0.993527758337831,0.995464792399353,0.979349029585719,0.990932665246763,0.995372909983982,0.991267021117199,0.990380482342794,0.993412416915066,0.983286853453835,0.994987982960378,0.989669594752552,0.980330232224428,0.993550285838637,0.990384493322385,0.958007845566496,"0.0917752496155372",0.99594685632006,0.984233496868951,0.986025126369502,0.991650158102822,0.991246399660406,0.991122954372041,0.99350629631432,0.988869363416042,0.984943212874056,0.98449105199738,0.989027800849668,0.987048744742227,0.984215433627571,0.992216901894336,0.985176509924364,0.986695955722119,0.987932518052568,0.995796192553003,0.990264019555844,0.987893277076151,0.967846424495207,0.968141620519591,0.990579626171256,0.983963910761532,0.988423125579996,0.977204387285664,0.978335461583141,0.983193717795981,0.993807470065748,0.994456633144193,0.997795569703418,0.979988884712061,0.992393087570676,0.990516419168107,0.990437010898452,0.987971265668174,0.994248870307174,0.996906035304163,0.998566360269384,0.99863231936218,0.997587864653152,0.986357302142855,0.991620158236017,0.985760953885216,"0.642638111267629",0.997009065384912,0.994138734231165,0.976745304746374,0.989416173721088,0.990370434716067,0.987018935751281,0.984196626992519,0.998451757482458,0.999334216434527,0.994855868329752,0.997896934084378,0.983403891799344,0.96758351611245,0.991325204806023,0.985962790339326,0.994859950459051,0.993949032950354,0.992595536089447,0.996046755210621,0.988756485320935,0.991220625174595,0.993001866822213,0.994727610215049,0.991946956727225,0.992669607467783,0.977399239557203,0.990704825187111,0.991381790222897,0.979598345242277,0.992172927196106,0.990116715882074,0.965361257224952,0.990941768256644,0.989911941274981,0.988104706615276,0.990151218663009,0.990449461872606,0.993729112381138,0.989925939786412,0.989560712305623,0.989800789649515,0.987824364478133,0.989466131404877,0.994852299110525,0.988562818923633,0.991792527456628,0.992309956682458,0.991767145966968,0.990690446828717,0.99176309871967,0.996455577676869,0.992784971901806,0.990617112860637,0.964766646315147,0.955159075584279,0.990512981121883,0.989918600093391,0.989648575291964,0.983782635707791,0.986931995742196,0.990539492682236
"Lower Limit",80,69,51,52,42,44,47,44,76,65,44,45,60,50,40,49,"124",105,82,62,27,36,26,26,74,65,67,67,19,19,21,23,55,57,32,56,18,25,28,33,26,26,21,26,30,24,36,28,25,"1",27,21,49,54,42,30,39,63,30,50,63,37,55,37,26,25,27,28,27,27,22,23,38,33,36,30,31,32,77,68,51,52,43,44,48,45,76,67,45,46,62,51,41,50,"1",105,81,93,28,36,27,27,71,79,67,67,20,20,21,23,56,57,32,56,20,26,29,34,26,26,22,26,31,25,36,28,25,97,27,22,50,55,43,30,39,63,31,51,64,37,55,36,26,25,27,27,27,27,22,22,37,33,36,29,30,31
"Upper Limit",97,87,68,68,59,61,65,61,95,84,62,63,78,67,57,66,"130",122,101,78,43,53,42,43,93,82,84,86,34,34,38,40,74,76,50,75,34,42,46,51,42,43,36,44,48,41,55,45,40,"32",45,37,67,71,61,47,56,80,47,67,80,55,72,54,43,40,44,47,44,44,38,38,55,50,53,46,47,49,94,87,69,69,60,61,66,62,96,85,63,64,80,68,58,67,"131",124,101,111,45,53,43,43,91,99,86,87,36,35,39,40,75,76,50,76,35,43,46,51,43,43,37,44,48,41,55,45,41,115,45,38,68,73,61,47,56,81,47,68,82,55,73,54,43,41,44,45,44,44,38,38,54,50,53,46,46,47
"Limit of exponential growth",144,144,144,144,142,144,141,141,144,144,123,131,144,144,136,144,"144",144,144,144,110,119,106,105,144,110,144,144,72,73,83,85,144,144,118,144,71,84,90,95,94,99,82,85,93,81,97,86,75,"144",85,79,122,128,110,97,106,128,91,111,131,100,124,102,80,73,76,82,81,82,79,80,104,97,100,82,82,79,144,144,144,144,137,141,138,136,144,144,121,126,144,144,130,142,"144",144,144,144,113,115,106,105,144,144,144,144,72,74,81,80,116,138,112,141,72,83,87,95,93,87,82,87,93,81,96,87,77,144,80,75,110,121,104,85,101,124,82,110,138,100,123,98,84,76,79,83,86,86,79,81,102,101,102,85,87,84
"Highest O.D",0.973850501202887,1.19185050120289,1.21685050120289,1.23285050120289,1.30585050120289,1.28085050120289,1.31885050120289,1.31485050120289,1.18585050120289,1.21885050120289,1.40002001091664,1.35185050120289,1.22085050120289,1.28585050120289,1.32502001091664,1.27485050120289,"0.489850501202887",0.818850501202887,1.07885050120289,1.1094784383219,1.45285050120289,1.39785050120289,1.47485050120289,1.45685050120289,1.1021895206304,1.38669804977167,1.05085050120289,1.21885050120289,1.57185050120289,1.54485050120289,1.47369804977167,1.47102001091664,1.29185050120289,1.29785050120289,1.39202001091664,1.29685050120289,1.5811895206304,1.49302001091664,1.49902001091664,1.4851895206304,1.4391895206304,1.43202001091664,1.47485050120289,1.46785050120289,1.4641895206304,1.50169804977167,1.45802001091664,1.48902001091664,1.56502001091664,"0.449090390269981",1.4951895206304,1.48485050120289,1.38185050120289,1.35785050120289,1.43202001091664,1.47002001091664,1.45585050120289,1.36585050120289,1.49035903034415,1.44385050120289,1.35585050120289,1.47885050120289,1.3741895206304,1.46085050120289,1.48902001091664,1.52102001091664,1.57302001091664,1.50352854005791,1.52085050120289,1.52885050120289,1.56685050120289,1.53985050120289,1.44885050120289,1.4891895206304,1.47085050120289,1.51085050120289,1.48702001091664,1.61002001091664,1.02885050120289,1.21485050120289,1.25485050120289,1.26485050120289,1.33385050120289,1.31685050120289,1.32985050120289,1.33985050120289,1.24485050120289,1.26285050120289,1.42085050120289,1.37385050120289,1.21485050120289,1.29185050120289,1.35785050120289,1.30802001091664,"0.589850501202887",0.863850501202887,1.11985050120289,1.00885050120289,1.43385050120289,1.41485050120289,1.46185050120289,1.48285050120289,1.10185050120289,1.0631895206304,1.09285050120289,1.21785050120289,1.57802001091664,1.5481895206304,1.48302001091664,1.48769804977167,1.47520657891293,1.32285050120289,1.41285050120289,1.30535903034415,1.56885050120289,1.50102001091664,1.50885050120289,1.4871895206304,1.44402001091664,1.45702001091664,1.4791895206304,1.46285050120289,1.46885050120289,1.5151895206304,1.46102001091664,1.49885050120289,1.57785050120289,1.17985050120289,1.52502001091664,1.5371895206304,1.44285050120289,1.3821895206304,1.46685050120289,1.54402001091664,1.49485050120289,1.41937608862669,1.54702001091664,1.45485050120289,1.32285050120289,1.47502001091664,1.39202001091664,1.48685050120289,1.47485050120289,1.5131895206304,1.54885050120289,1.48752854005791,1.49902001091664,1.51502001091664,1.56985050120289,1.54102001091664,1.45785050120289,1.46785050120289,1.4571895206304,1.49885050120289,1.4831895206304,1.5911895206304
"No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exponential growth outside expected range",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLANKAVERAGE",0.263029554263566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACTERIAL CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
